hit_id	length	cysteine_content	e_value	query_accession	query_name
KAH7952853.1	487	0.02	0.071	-	VOG00134
GBXQ01021898.1.p1	469	0.02	0.53	-	VOG07855
KAH9373164.1	426	0.01	0.097	-	VOG00134
JAP84829.1	426	0.01	0.12	-	VOG00134
MAA22781.1	426	0.01	0.12	-	VOG00134
JAP65025.1	426	0.01	0.13	-	VOG00134
MBY10066.1	426	0.01	0.15	-	VOG00134
JAC21935.1	426	0.01	0.15	-	VOG00134
JAC34242.1	426	0.01	0.17	-	VOG00134
KAH6933977.1	189	0.01	0.17	-	VOG00134
GBXQ01006831.1.p2	364	0.01	0.24	-	VOG00134
MCL6787865.1	564	0.01	0.71	-	VOG00134
MDC7211513.1	425	0.01	0.51	-	VOG00134
GBXQ01006830.1.p1	426	0.01	0.52	-	VOG00134
EEC07992.1	426	0.02	0.52	-	VOG00134
KAH6931167.1	461	0.01	0.56	-	VOG00134
GBXQ01019503.1.p1	272	0.02	0.74	-	VOG00134
KAG0415163.1	443	0.01	0.79	-	VOG00134
KAH8034801.1	208	0.02	0.59	-	VOG00134
KAH7957492.1	182	0.01	0.67	-	VOG00134
MCL6794596.1	1016	0.02	0.48	-	VOG00134
KAH6937606.1	290	0.02	1.0	-	VOG00134
MBY10888.1	462	0.02	1.2	-	VOG00134
CAG7589237.1	97	0.00	5.8e-15	-	VOG00279
CAG7590806.1	97	0.00	5.8e-15	-	VOG00279
JAC24935.1	101	0.00	9.1e-08	-	VOG00279
JAG89912.1	100	0.00	1.2e-07	-	VOG00279
NOV52233.1	101	0.00	1.2e-07	-	VOG00279
MAA17863.1	146	0.01	1.5e-07	-	VOG00279
EEC05121.1	101	0.00	2.2e-07	-	VOG00279
KAG0412691.1	101	0.00	2.2e-07	-	VOG00279
MDC7210253.1	101	0.00	2.2e-07	-	VOG00279
GBXQ01022054.1.p5	155	0.00	8.3e-07	-	VOG00279
MAA17862.1	140	0.01	2.4e-07	-	VOG00279
EEC11386.1	63	0.00	2.2e-07	-	VOG00279
KAH9372138.1	101	0.00	2.9e-07	-	VOG00279
JAP82020.1	158	0.01	3.4e-07	-	VOG00279
KAH7964975.1	119	0.00	5.7e-07	-	VOG00279
JAC32238.1	101	0.00	6e-07	-	VOG00279
JAC32239.1	101	0.00	6e-07	-	VOG00279
JAC32240.1	101	0.00	6e-07	-	VOG00279
JAP66868.1	101	0.00	9.2e-07	-	VOG00279
MCL6766370.1	119	0.00	1.1e-06	-	VOG00279
JAC20057.1	101	0.00	2.5e-05	-	VOG00279
JAR94825.1	92	0.01	7.8e-05	-	VOG00279
MCL6767026.1	101	0.00	0.00019	-	VOG00279
JAA72088.1	93	0.00	0.00068	-	VOG00279
JAC28852.1	377	0.01	0.0093	-	VOG00279
KAH6928436.1	211	0.01	0.019	-	VOG00279
MCL6777988.1	994	0.02	0.031	-	VOG00279
KAH6921069.1	124	0.02	0.03	-	VOG00279
MAA24724.1	377	0.01	0.054	-	VOG00279
KAH9363408.1	317	0.04	0.068	-	VOG00279
KAH8021695.1	347	0.01	0.07	-	VOG00279
MBY09626.1	354	0.04	0.14	-	VOG00279
JAA68836.1	424	0.01	1.4	-	VOG00279
MAA22297.1	376	0.02	0.69	-	VOG00279
JAC21663.1	353	0.04	0.18	-	VOG00279
KAH9380883.1	377	0.01	0.15	-	VOG00279
JAP79148.1	376	0.02	0.79	-	VOG00279
JAC32076.1	373	0.02	0.63	-	VOG00279
KAH7937616.1	371	0.02	0.3	-	VOG00279
KAH6927445.1	376	0.02	0.3	-	VOG00279
EEC15906.1	353	0.04	0.27	-	VOG00279
MDC7211543.1	353	0.04	0.27	-	VOG00279
JAP77484.1	421	0.02	0.68	-	VOG00279
JAP78517.1	347	0.01	0.28	-	VOG00279
MDC7209555.1	382	0.02	0.29	-	VOG00279
MOY38150.1	382	0.02	0.29	-	VOG00279
KAH8020183.1	457	0.02	0.76	-	VOG00279
KAH7947208.1	374	0.02	0.58	-	VOG00279
KAH7976342.1	286	0.05	0.5	-	VOG00279
JAA69064.1	385	0.02	0.27	-	VOG00279
GBXQ01019152.1.p1	219	0.05	0.26	-	VOG00279
JAA69066.1	385	0.02	0.29	-	VOG00279
GBXQ01020725.1.p1	387	0.01	0.35	-	VOG00279
MAA23342.1	348	0.03	0.52	-	VOG00279
JAC21850.1	403	0.02	0.64	-	VOG00279
KAH8021129.1	339	0.02	0.5	-	VOG00279
JAP81378.1	435	0.02	0.71	-	VOG00279
MAA23341.1	435	0.02	0.71	-	VOG00279
JAC24663.1	439	0.02	0.72	-	VOG00279
JAP67999.1	437	0.02	0.76	-	VOG00279
JAC31621.1	439	0.02	0.78	-	VOG00279
EEC18665.1	363	0.02	1.2	-	VOG00279
MBY05376.1	372	0.02	0.58	-	VOG00279
MBY09507.1	365	0.01	0.75	-	VOG00279
JAP68394.1	353	0.04	0.7	-	VOG00279
KAH6923321.1	353	0.04	0.7	-	VOG00279
MOY43393.1	373	0.01	0.73	-	VOG00279
EEC04803.1	369	0.01	0.74	-	VOG00279
GBXQ01007299.1.p1	344	0.01	0.77	-	VOG00279
MBY08115.1	420	0.02	1.0	-	VOG00279
KAG0410912.1	340	0.01	0.77	-	VOG00279
JAA69199.1	373	0.01	0.86	-	VOG00279
JAP78218.1	354	0.04	1.1	-	VOG00279
MDC7208950.1	458	0.02	1.6	-	VOG00279
KAG0430421.1	365	0.02	2.9	-	VOG00279
MOY37808.1	444	0.02	1.5	-	VOG00279
GBXQ01005988.1.p1	520	0.02	1.7	-	VOG00279
EEC03943.1	349	0.01	3.0	-	VOG00279
JAR92308.1	354	0.02	2.9	-	VOG00279
KAH7936525.1	273	0.00	1.9	-	VOG00279
KAG0415042.1	439	0.03	1.4	-	VOG00279
JAC21809.1	392	0.02	1.9	-	VOG00279
KAG0420914.1	349	0.01	3.0	-	VOG00279
GBXQ01018378.1.p1	355	0.01	3.1	-	VOG00279
GBXQ01005989.1.p1	506	0.02	1.7	-	VOG00279
MBY04163.1	218	0.00	0.1	-	VOG00327
MDC7208091.1	250	0.01	1.4	-	VOG00327
EEC16446.1	224	0.00	0.7	-	VOG00327
KAH6920197.1	329	0.00	0.37	-	VOG00327
KAH6926783.1	511	0.01	0.42	-	VOG00327
KAH8042269.1	237	0.00	0.71	-	VOG00327
KAH9384573.1	394	0.02	0.79	-	VOG00327
JAC23877.1	144	0.04	0.72	-	VOG00327
KAG0411832.1	213	0.03	0.42	-	VOG00363
GBXQ01017869.1.p1	210	0.03	0.14	-	VOG00529
EEC02076.1	295	0.00	16.0	-	VOG00529
KAG0413557.1	944	0.01	1.6	-	VOG00529
MOY40358.1	968	0.01	1.6	-	VOG00529
KAH9383659.1	181	0.02	1.2	-	VOG00529
MCL6766936.1	483	0.00	1.7e-08	-	VOG02927
GBXQ01001369.1.p5	127	0.02	0.12	-	VOG00977
MAA17510.1	118	0.01	0.12	-	VOG00977
KAH6943182.1	118	0.01	0.12	-	VOG00977
JAP84456.1	118	0.01	0.89	-	VOG01502
KAH7970151.1	308	0.01	0.24	-	VOG26462
KAH9365856.1	237	0.01	0.26	-	VOG00977
KAH7943218.1	118	0.01	0.32	-	VOG00977
MAA17512.1	118	0.02	0.38	-	VOG00977
KAH7976376.1	752	0.06	0.53	-	VOG00977
KAH9384352.1	405	0.05	0.46	-	VOG00977
MAA22754.1	451	0.01	0.13	-	VOG26462
GBXQ01009582.1.p1	258	0.03	0.46	-	VOG00977
KAH7962051.1	170	0.01	0.54	-	VOG00977
KAH6941021.1	205	0.00	0.075	-	VOG08006
KAH8036749.1	260	0.02	1.1	-	VOG00977
GBXQ01038865.1.p1	126	0.02	1.2	-	VOG00977
CAG7590198.1	284	0.01	0.72	-	VOG01056
CAG7599929.1	284	0.01	0.72	-	VOG01056
GBXQ01002610.1.p1	1161	0.05	2.4e-05	-	VOG17365
GBXQ01002609.1.p1	1171	0.05	2.5e-05	-	VOG17365
EEC06162.1	225	0.03	0.17	-	VOG01069
MAA16084.1	563	0.02	0.43	-	VOG01176
KAH8023388.1	578	0.02	0.51	-	VOG01176
MAA15972.1	441	0.02	0.93	-	VOG01176
KAH9363112.1	277	0.02	1.1	-	VOG01176
KAH8041787.1	487	0.01	2.2e-14	-	VOG09627
KAG0428777.1	570	0.02	9.7e-14	-	VOG09627
KAH7970331.1	596	0.01	7.3e-07	-	VOG09627
KAH8021442.1	592	0.01	4.8e-32	-	VOG01177
KAH8008786.1	391	0.01	4.4e-06	-	VOG09627
KAH8032418.1	430	0.02	1.4e-09	-	VOG09627
KAH7948656.1	129	0.02	1.3e-09	-	VOG09627
KAH8037708.1	129	0.02	1.3e-09	-	VOG09627
KAH8029072.1	306	0.01	0.00016	-	VOG09627
KAH8025852.1	181	0.02	9.3e-11	-	VOG09627
KAH8021381.1	309	0.02	2.9e-22	-	VOG01177
KAH8031212.1	310	0.01	4e-17	-	VOG01177
KAG0415203.1	712	0.02	3.7e-11	-	VOG09627
KAH8032417.1	143	0.00	4.1e-10	-	VOG09627
KAH8025145.1	647	0.02	7.2e-07	-	VOG09627
KAH9383996.1	326	0.01	1.1e-14	-	VOG01177
KAH8032427.1	157	0.01	0.0017	-	VOG09627
KAH8032916.1	174	0.03	0.018	-	VOG09627
KAH8033055.1	153	0.01	5.5e-05	-	VOG09627
KAH8025298.1	281	0.01	8.4e-11	-	VOG01177
KAH8036364.1	554	0.02	0.039	-	VOG09627
KAH8022371.1	291	0.00	1.3e-10	-	VOG01177
KAH8025297.1	67	0.00	9.1e-09	-	VOG09627
KAH8038291.1	192	0.02	1.2e-06	-	VOG09627
KAH8021836.1	169	0.01	1.9e-09	-	VOG09627
KAH8031211.1	181	0.00	9.2e-05	-	VOG09627
KAH8008785.1	252	0.00	4.9e-07	-	VOG01177
EEC13947.1	148	0.01	5.4e-06	-	VOG01177
KAH7945391.1	157	0.00	7.7e-06	-	VOG01177
EEC03845.1	157	0.03	2.1e-05	-	VOG01177
KAH7950703.1	233	0.03	0.041	-	VOG01177
MXU93226.1	144	0.04	0.0059	-	VOG01177
JAA72846.1	142	0.01	0.014	-	VOG01177
KAH8031213.1	202	0.01	0.041	-	VOG01177
KAH7951404.1	296	0.01	0.087	-	VOG01177
KAG0442919.1	186	0.01	0.16	-	VOG01177
JAP65440.1	312	0.02	0.26	-	VOG01177
KAH7987044.1	591	0.03	0.4	-	VOG01177
MAA23275.1	440	0.02	0.43	-	VOG01177
KAG0431041.1	101	0.04	0.34	-	VOG01177
MBY06859.1	319	0.02	0.71	-	VOG01177
JAP84439.1	440	0.02	1.2	-	VOG01177
MOY40678.1	390	0.04	1.2	-	VOG01177
KAH7944756.1	238	0.01	0.0021	-	VOG01502
KAH9367489.1	338	0.02	0.0053	-	VOG01502
JAR90760.1	388	0.03	0.0062	-	VOG01502
KAH9377537.1	207	0.01	0.0058	-	VOG01502
KAH9364797.1	248	0.04	0.0074	-	VOG01502
KAH9359571.1	262	0.01	0.015	-	VOG01502
KAH9378552.1	132	0.02	0.024	-	VOG01502
KAH9379179.1	152	0.05	0.029	-	VOG01502
KAH8031167.1	362	0.03	0.032	-	VOG01502
KAH8040376.1	211	0.00	0.031	-	VOG01502
KAH8025418.1	210	0.00	0.036	-	VOG01502
EEC05184.1	340	0.02	21.0	-	VOG01502
KAH7963595.1	455	0.03	2.8	-	VOG01502
KAH7943374.1	617	0.02	1.9	-	VOG01502
KAH6921329.1	210	0.00	0.049	-	VOG01502
KAH7963760.1	688	0.02	2.1	-	VOG01502
KAH8027379.1	329	0.00	0.047	-	VOG01502
MOY38219.1	517	0.01	0.053	-	VOG01502
KAH7943719.1	689	0.02	5.3	-	VOG01502
MCL6773604.1	467	0.03	0.11	-	VOG01502
KAH9361631.1	287	0.04	0.11	-	VOG01502
MCL6776611.1	449	0.04	0.12	-	VOG01502
KAH6930112.1	389	0.01	0.13	-	VOG01502
KAH7982795.1	237	0.01	0.4	-	VOG01502
KAH9382920.1	183	0.00	0.11	-	VOG01502
JAP88265.1	208	0.00	0.12	-	VOG01502
KAH7976352.1	237	0.01	0.4	-	VOG01502
MOY38220.1	517	0.01	0.11	-	VOG01502
KAH7962141.1	211	0.00	0.14	-	VOG01502
EEC11116.1	186	0.02	0.14	-	VOG01502
KAH9359919.1	278	0.02	0.19	-	VOG21298
KAH9368516.1	380	0.02	0.19	-	VOG01502
KAH7945311.1	194	0.01	0.13	-	VOG01502
KAG0424917.1	132	0.01	0.16	-	VOG01502
GBXQ01000700.1.p1	518	0.01	0.13	-	VOG01502
GBXQ01000701.1.p1	518	0.01	0.13	-	VOG01502
GBXQ01000702.1.p1	518	0.01	0.13	-	VOG01502
GBXQ01000703.1.p1	518	0.01	0.13	-	VOG01502
KAH6935159.1	171	0.05	0.14	-	VOG01502
KAH6946731.1	515	0.03	0.2	-	VOG01502
KAH7932042.1	216	0.00	0.17	-	VOG01502
KAG0411588.1	200	0.00	0.17	-	VOG01502
KAH6921221.1	272	0.01	0.22	-	VOG01502
KAH6939329.1	367	0.01	0.28	-	VOG01502
KAG0425379.1	195	0.00	0.28	-	VOG01502
KAH6930009.1	663	0.02	0.34	-	VOG01502
MCL6774423.1	481	0.05	0.37	-	VOG01502
KAH9379962.1	160	0.01	0.098	-	VOG02738
JAR90381.1	274	0.02	0.29	-	VOG01502
KAH9370712.1	211	0.00	0.28	-	VOG01502
KAH7940733.1	274	0.01	0.37	-	VOG01502
KAH7965071.1	385	0.02	0.38	-	VOG01502
KAH7939043.1	762	0.03	2.2	-	VOG01502
MCL6779780.1	349	0.04	0.36	-	VOG01502
KAH7953253.1	337	0.01	0.057	-	VOG07859
MXU98981.1	386	0.03	17.0	-	VOG01502
KAH7986200.1	219	0.02	0.38	-	VOG01502
KAG0416071.1	211	0.02	0.34	-	VOG01502
KAH9383868.1	188	0.03	0.31	-	VOG01502
KAG0444037.1	158	0.00	0.29	-	VOG01502
MCL6788466.1	480	0.05	0.43	-	VOG01502
KAH7932927.1	195	0.00	0.35	-	VOG01502
KAH7959686.1	157	0.01	1.9	-	VOG24188
MCL6790550.1	221	0.01	0.5	-	VOG01502
KAH6942765.1	202	0.00	0.34	-	VOG01502
KAH8040586.1	182	0.01	0.35	-	VOG01502
JAC34690.1	577	0.01	6.5	-	VOG01502
MCL6773774.1	430	0.04	0.74	-	VOG23833
MBY05816.1	255	0.02	0.47	-	VOG01502
KAH6944507.1	135	0.02	4.2	-	VOG02738
KAH7950836.1	108	0.00	0.32	-	VOG01502
KAH6927059.1	434	0.01	0.45	-	VOG01502
KAH7962874.1	211	0.00	0.4	-	VOG01502
KAH7966686.1	211	0.00	0.41	-	VOG01502
KAH9367543.1	255	0.01	0.64	-	VOG01502
KAH9362062.1	223	0.01	0.11	-	VOG02738
GBXQ01010697.1.p1	86	0.00	0.4	-	VOG01502
KAH9382693.1	265	0.01	61.0	-	VOG01502
KAH6934643.1	118	0.01	0.44	-	VOG01502
JAP65091.1	192	0.01	0.5	-	VOG01502
KAH9378924.1	237	0.01	0.51	-	VOG01502
KAH6934091.1	470	0.01	54.0	-	VOG01502
KAH6939124.1	211	0.00	0.5	-	VOG01502
MBY05984.1	96	0.01	0.45	-	VOG01502
KAH8039805.1	347	0.02	0.59	-	VOG01502
MOY39406.1	443	0.04	1.4	-	VOG01502
KAH7985200.1	241	0.01	0.78	-	VOG01502
KAH9375623.1	335	0.03	0.64	-	VOG01502
MCL6770899.1	122	0.06	0.52	-	VOG01502
KAH9366970.1	173	0.04	0.95	-	VOG01502
MBY07967.1	421	0.01	0.91	-	VOG01502
KAH6933930.1	470	0.01	55.0	-	VOG01502
KAH9378553.1	278	0.02	0.28	-	VOG21298
KAH9380641.1	243	0.01	0.65	-	VOG01502
KAH8030049.1	298	0.01	0.78	-	VOG01502
KAH9367238.1	333	0.03	0.86	-	VOG01502
KAH7941336.1	417	0.02	0.75	-	VOG01502
JAC33527.1	301	0.01	0.48	-	VOG01502
KAH9379349.1	85	0.04	0.52	-	VOG01502
KAG0428343.1	156	0.01	0.63	-	VOG01502
GBXQ01023263.1.p1	342	0.04	0.74	-	VOG01502
MCL6786299.1	371	0.03	0.99	-	VOG01502
GBXQ01020834.1.p2	212	0.00	0.78	-	VOG01502
KAH6919487.1	202	0.00	0.64	-	VOG01502
KAH9367485.1	98	0.00	0.8	-	VOG29998
KAH7970227.1	306	0.01	0.84	-	VOG01502
MCL6788790.1	327	0.03	1.0	-	VOG01502
MCL6792616.1	452	0.05	0.84	-	VOG01502
MCL6767378.1	453	0.04	0.6	-	VOG23833
KAG0434038.1	285	0.00	0.8	-	VOG01502
KAH6922741.1	130	0.02	0.73	-	VOG01502
KAG0437251.1	254	0.02	0.8	-	VOG01502
